ad_id,광고주,구분,이미지파일명,이미지URL,소재유형,보종,소구포인트,요약,광고텍스트,광고시작일,광고종료일,광고상세URL,수집일,최초발견일,상태,운영일수,레이아웃,인물노출,제품노출,텍스트밀도,제작방식,비주얼스타일,퍼널단계,오퍼,긴급성
01fcb72b524aed40d007694caa41a565,삼성화재 다이렉트 착,경쟁사,01fcb72b524aed40d007694caa41a565.jpg,https://lh3.googleusercontent.com/d/1xz-B7ZNPu85AeWFC9mEG4hvc0Nc-yPVW,특약,주택화재,시즌이슈,여름철 에어컨 화재 위험 대비,"혹시 모를 우리집 화재 위험🌡️
여름철 에어컨으로 인한 화재 주의!

AI맞춤보장보험 주택화재플랜으로
우리집 화재피해 안전하게 미리대비하세요👍

*화재 및 붕괴 등의 손해(특약)
*가입 시 가입금액 한도 내 실손 보장

손해보험협회 심의필 제182999호
(2026.07.03~2027.07.02)",2026-07-20,2026-09-09,https://www.facebook.com/ads/library/?id=1377140254558077,2026-09-07,2026-08-24,종료,66,,,,,,,,,
020a51ff58833421bcc0b68542904bb9,펫퍼민트,경쟁사,020a51ff58833421bcc0b68542904bb9.jpg,https://lh3.googleusercontent.com/d/1Jd1Hb35iyPPThyTrEbzLsL5TUnDKL3zp,브랜딩,펫보험,정서유도,반려동물 이름 트렌드 확인 이벤트,"🐶 우리 애 이름, 흔한 편일까?
요즘 댕냥이 이름 트렌드를 알고 싶다면
메리츠 13만 이름 데이터로 확인해보라개! (18~25년 계약건수 기준)

#펫퍼민트 #메리츠펫보험 #펫보험 #강아지보험

*손해보험협회 심의필 제178501호 (2026.05.11~2027.05.10)
MERITZFIRE-PET-EVENT.COM
메리츠화재 펫보험
보험료 알아보기",2026-05-28,2026-06-29,https://www.facebook.com/ads/library/?id=762528246948252,2026-06-28,2026-06-13,종료,119,,,,,,,,,
020eb4ed90ed05cfb8c6a06d2fd6bf33,DB손해보험다이렉트,경쟁사,86593fd271f3419fd8d711fac5235994.jpg,https://scontent-ssn1-1.xx.fbcdn.net/v/t39.35426-6/720860421_2518484738602399_4527991581712625414_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=110&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=PyWkpGN54f4Q7kNvwEvq9vw&_nc_oc=AdqqhoKcvGtzyWKXEmOfQBZXyN-BGaZxUX8GOtFoEIPMrrUw0kwx2ID6K9AoB_ZLMfA&_nc_zt=14&_nc_ht=scontent-ssn1-1.xx&_nc_gid=8EmCwlAMnivy9N6fzs0jmQ&_nc_ss=7f289&oh=00_Af-y2NJL7bwNX5mXAQhAen_nixWAFatdOqR8JLKh-s5A5Q&oe=6A335374,특약,간병인보험,대비유도,간병인보험은 이제 필수 선택,"간병인 보험 이제는 선택이 아닌 필수
손해보지 않는 최고의 선택
간병인가이드
간병인 지원/일당 필수",2026-06-11,2026-06-13,https://www.facebook.com/ads/library/?id=1810864043206572,2026-06-14,2026-06-13,종료,105,,,,,,,,,
0240d460b1da0b11a07d944741645a61,한화생명,경쟁사,0240d460b1da0b11a07d944741645a61.jpg,https://lh3.googleusercontent.com/d/1CbmvBjLRWbV9EXubtzscsh4Z3OiWt-wD,브랜딩,보장분석,가입유도,상담 예약하면 이벤트 참여 완료,"상담 예약하면 이벤트 신청 끝!
보험 상담 예약만 해도 이벤트 참여 신청 끝

*보험계약 체결 전 상품설명서 및 약관 참고
*기존 계약 해지 후 신계약 체결 시 보험인수 거절, 보험료 인상 등 보장내용이 달라질 수 있음
준법감시인 확인필 CP 26-05-024 (2026-05-18~2027-05-17)
한화생명 보험 리모델링",2026-06-08,2026-07-10,https://www.facebook.com/ads/library/?id=1349472543738988,2026-07-09,2026-06-14,종료,108,,,,,,,,,
0263e03de33da45a5bc43a25a91e2fec,메리츠화재,경쟁사,0263e03de33da45a5bc43a25a91e2fec.jpg,https://tnrv9jhx86xbg2xa.public.blob.vercel-storage.com/ads/0263e03de33da45a5bc43a25a91e2fec.jpg,특약,종합보험,대비유도,수술비 전용보험 실손 공백 대비,"수술비 맞춤보험, 올케어 꽉 채운 수술비보험!
(실손 보장 공백 대비 수술비 전용 보험) 보험료 확인하기 >
내 예상 보험료 확인하기",2026-08-19,2026-09-19,https://www.facebook.com/ads/library/?id=1364869902475010,2026-09-19,2026-07-30,종료,36,,,,,,,,,
029169b560a9aae43839175ff0cddd64,라이나생명,경쟁사,029169b560a9aae43839175ff0cddd64.jpg,https://lh3.googleusercontent.com/d/1eSs2wonTOm0jXn6X0anDWdL-AVtRWA_5,특약,암보험,대비유도,암 치료비 부담 항암치료 대비,"암보다 더 무서운 건
생각보다 커지는 치료비 부담 😥

최신 항암치료까지 보장되는 암보험으로
치료에만 집중할 수 있게 준비해보세요.

✔ 최신 항암 치료비 대비 가능(특약)
✔ 다이렉트 가입으로 간편하게

지금 내 보험료도 확인해보세요 👀

라이나생명 다이렉트 (무)라이나다이렉트암보험(해약환급금미지급형Ⅱ) 암치료비플랜
*해약환급금미지급형 Ⅱ :납입기간 중 계약 중도 해지 시 해약환급금 없음
*가입 후 91일부터 보장, 1년 이내 진단 시 50% 보장
*계약 체결 전 상품 설명서 및 약관 참조
*기존 계약 해지 후 신계약 체결 시 보험인수가 거절되거나 보험료가 인상되거나 보장 내용이 달라질 수 있음

생명보험협회 심의필 제2026-05430호(2026-06-11~2027-06-10)
MDIRECT.LINA.CO.KR
암치료 플랜에만 집중한 보험
라이나생명 다이렉트 암보험
가입하기",2026-06-16,2026-06-30,https://www.facebook.com/ads/library/?id=1587743569534568,2026-06-30,2026-06-17,종료,100,,,,,,,,,
02a283134c2c4f0c4b32bd94f065814d,현대해상 다이렉트,경쟁사,02a283134c2c4f0c4b32bd94f065814d.jpg,https://lh3.googleusercontent.com/d/1KXwnQTfDXS5XhbmHkwWSjRlZ8r-izIMY,특약,주택화재,대비유도,주택화재보험으로 미리 대비,"아차 하는 순간 삽시간에 번지는 화재,
예고는 불확실하지만 대비는 확실하게,
현대해상다이렉트 주택화재보험으로 미리 대비
(특약 가입 시)

#현대해상주택화재보험
#아파트화재보험
#다이렉트주택화재보험
#현대해상다이렉트주택화재보험
MDIRECT.HI.CO.KR
다이렉트 H주택화재보험
지금 바로 확인해보기!",2026-08-28,2026-09-03,https://www.facebook.com/ads/library/?id=946826114371155,2026-09-02,2026-09-01,종료,27,,,,,,,,,
02fbb38b3d217ece3aab8d4dc9222b32,삼성화재 다이렉트 착,경쟁사,02fbb38b3d217ece3aab8d4dc9222b32.jpg,https://scontent-sin6-3.xx.fbcdn.net/v/t39.35426-6/717709242_983915431085375_6983893080619929875_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=7FTIDzdk9wkQ7kNvwEiTCzC&_nc_oc=Adr8nJoBNnDC-m3pkLCwMROHKr9d7WslNExd7jlS_AFEtvdlw39msh6SbaW1SuwoStk&_nc_zt=14&_nc_ht=scontent-sin6-3.xx&_nc_gid=10PzUHD6fA617mOZwFfKuA&_nc_ss=7f289&oh=00_Af88NBnkjSr4HJtnJXBg37XjVVioAhGyUVJ5U1NYXPiK_A&oe=6A349010,특약,주택화재,대비유도,아랫집 누수 피해까지 대비,"아랫집 누수 피해 보상까지
삼성화재 다이렉트 AI맞춤보장보험
주택화재플랜으로 든든 대비!

가족 일상생활중 배상책임
(특약, 자기부담금 공제 후 가입금액 한도 내 보장)

준법감시인확인필 제26-2-2071호 (5959,'26.05.19~'27.05.18)",2026-06-09,2026-06-15,https://www.facebook.com/ads/library/?id=1952873366101015,2026-06-15,2026-06-14,종료,107,,,,,,,,,
0320f51028b63b44cbe5784289d8a8df,현대해상 다이렉트,경쟁사,0320f51028b63b44cbe5784289d8a8df.jpg,https://lh3.googleusercontent.com/d/1-mOl8-VzC19mTzXR_YxSWBHp1dbhwjAb,브랜딩,자동차보험,경제적혜택,자동차보험 가입 시 카드혜택,"자동차보험 가입시
카드결제혜택 최대 3만원

#현대해상 #현대해상다이렉트 #자동차보험
현대해상 다이렉트
모바일로 간편 확인!",2026-05-28,2026-07-14,https://www.facebook.com/ads/library/?id=1673969640751153,2026-07-13,2026-07-08,종료,119,,,,,,,,,
03997fcbc364c4e1da5c176e1e0a3fab,펫퍼민트,경쟁사,03997fcbc364c4e1da5c176e1e0a3fab.jpg,https://lh3.googleusercontent.com/d/1CEuwfR-s126QQv5osmr6lffMl_nr0dYI,브랜딩,펫보험,상품신뢰,신동엽 추천 메리츠 펫보험 혜택,"짠한형 신동엽 Pick! 국내 1위 메리츠 펫보험
신규 가입 고객 대상 네이버페이 포인트 최대 3만원 지급
(월 3만원 이상 가입, 2회차 보험료 납입 시)

🎉 가입건수 13만 돌파! (18~25년 계약건수 기준)
👑 6년 연속 1위 유지 (18~23년 원수보험료 기준)
📇 국내최초 현장청구 (전국 600여개 제휴병원)
📱 보험료만 선택하세요! 간편한 온라인 가입

동물농장 아저씨 짠한형 신동엽도 추천하는 메리츠 펫보험,
💜이번 달 가입 혜택 꼭 확인해 보세요💜

준법감시인 심의필 제2026-광고-676호(2026.03.30~2027.03.29)
MSTORE.MERITZFIRE.COM
메리츠화재 펫보험
보험료 알아보기",,2026-06-18,https://www.facebook.com/ads/library/?id=1746496370053075,2026-06-18,2026-06-18,종료,98,,,,,,,,,
03a02b3d54baccc33012189fa49392ec,DB 손해보험 다이렉트,경쟁사,03a02b3d54baccc33012189fa49392ec.jpg,https://lh3.googleusercontent.com/d/17jHylrnX7YcV_bxIFYYndqdTGCxLZpdu,특약,펫보험,가입유도,대형견 의료비 보장특약 확대,"우리집 강아지 보험료는 얼마일까?
DB다이렉트에서 간편 확인해보세요

DB다이렉트 펫블리 반려견보험
대형견 의료비 보장금액확대(특약)(실손)(수술제외)(연간10회한)(질병의 경우 가입 31일 이후 보장)

손해보험협회 심의필 제176153호 (2026.04.13~2027.04.12)
DIRECTIDB.CO.KR
DB다이렉트 펫보험
보험료 알아보기",2026-08-10,2026-09-01,https://www.facebook.com/ads/library/?id=4445140975774009,2026-08-28,2026-08-26,종료,42,,,,,,,,,
03bb7aad5f10c298e51fb584cd02e803,라이나생명,경쟁사,03bb7aad5f10c298e51fb584cd02e803.jpg,https://lh3.googleusercontent.com/d/1-ym1UnpHZjhRRGhPRaEPUI-jPP6CW0FP,특약,종합보험,대비유도,수술비 부족할까 걱정된다면 대비,"갑자기 수술하게 되면,
실비만으로 보장 충분할까❓

이런 걱정하고 계시다면?

질병 수술비 얼마가 나오든 100세까지 정액 보장되는
라이나(무)새로담는건강보험으로 대비하세요!(특약)

(무)새로담는건강보험
*질병마다 1회 한, 단 365일 경과 후 동일한 질병으로 수술 시 보장하며, 동시수술 약관참조
*가입 첫날부터 수술비 보장 개시(가입 후 1년 이내 50% 보장)
*계약 체결 전 상품 설명서 및 약관 참조
*기존 계약 해지 후 신계약 체결 시 보험인수가 거절되거나 보험료가 인상되거나 보장 내용이 달라질 수 있음

생명보험협회 심의필 제2026-04586호 (2026-05-21 ~ 2027-05-20)
M.LINA.CO.KR
보험료 간편 확인!
라이나 (무)새로담는건강보험",2026-07-31,,https://www.facebook.com/ads/library/?id=2137888937073554,2026-09-24,2026-08-24,운영중,55,,,,,,,,,
03c8f4095bc1d999eb60c4c0e3a61980,DB생명 다이렉트,경쟁사,03c8f4095bc1d999eb60c4c0e3a61980.jpg,https://lh3.googleusercontent.com/d/1Q3dp1G8ndfxSu1crHWpMt_rgvEht2QFq,비갱신,암보험,경제적혜택,비갱신 암보험 보험료 인상 없음,"첫 보험료 그대로 보험료 인상 없이
최대 100세 만기까지 든든하게 보장받는
DB생명 e로운 암보험(비갱신형)

지금 바로 보험료 확인!",2026-06-08,2026-07-20,https://www.facebook.com/ads/library/?id=1906732596651955,2026-07-19,2026-06-18,종료,105,,,,,,,,,
043eaee2d2e832814e79a191a8cafd47,흥국화재해상보험,경쟁사,043eaee2d2e832814e79a191a8cafd47.jpg,https://lh3.googleusercontent.com/d/19QpwwSCq7mENlenH4m84H_xLmsKxrHT8,비갱신,종합보험,경제적혜택,비갱신 종합보험 100세까지 보장,"한 번 가입으로 보험료 그대로 100세까지 보장
(비갱신형, 100세만기 가입시)
The건강한 4565종합보험 상담 받아보세요!
HTTPS://MMALL.HEUNGKUKFIRE.CO.KR
흥국화재 건강종합보험 추천",2026-07-01,2026-07-08,https://www.facebook.com/ads/library/?id=28378050865115970,2026-07-07,2026-06-17,종료,83,,,,,,,,,
04432f07bdcc5601d26fdaa7b608ee27,삼성화재 다이렉트 착,경쟁사,04432f07bdcc5601d26fdaa7b608ee27.jpg,https://lh3.googleusercontent.com/d/16U9c8jmpb6xmGcHMFeoIOiL-Q6YjgWa3,기타,자동차보험,가입유도,자동차보험료 확인시 1만원 증정,"만기일 상관없이
내 자동차보험료 확인 시
다이소 상품권 1만원 즉시 지급!

#삼성화재다이렉트착 #자동차보험
#자동차보험료 #만기 #갱신",2026-09-08,2026-09-15,https://www.facebook.com/ads/library/?id=1605208277851666,2026-09-14,2026-09-09,종료,16,,,,,,,,,
04493e4d9a4735b81816b7f62935b29c,현대해상 다이렉트,경쟁사,04493e4d9a4735b81816b7f62935b29c.jpg,https://lh3.googleusercontent.com/d/1Eu6Wb4RuJeqyzOnZEVcA9yHfLmOpb0aw,특약,주택화재,시즌이슈,누수 피해 걱정된다면 저렴하게 대비,"물도 새고..돈도 새는 누수 피해, 걱정된다면?
다이렉트 주택화재보험으로 저렴하게 대비하세요!

(급배수설비 누출손해 특약 가입 시)

#현대해상 #주택화재보험
#다이렉트주택화재보험
#현대해상다이렉트주택화재보험
다이렉트 H주택화재보험
지금 바로 확인해보기!",2026-07-08,2026-09-02,https://www.facebook.com/ads/library/?id=1618457583030374,2026-09-02,2026-07-09,종료,78,,,,,,,,,
0457a17bd0317a4326face295c422667,삼성생명 다이렉트,경쟁사,0457a17bd0317a4326face295c422667.jpg,https://lh3.googleusercontent.com/d/1YlzZT9-Til0Jm5_jSARhZYisULp7uzoi,특약,종합보험,상품신뢰,건강보험 필요한 보장만 합리적으로,"건강보험, 알아볼수록 어렵게 느껴진다면?

내게 필요한 보장부터
합리적으로 확인해보세요.

암·뇌·심 관련 보장(특약)까지
삼성 팩 건강보험으로 간편하게 담아보세요.

*지급한도, 면책사항 등에 따라 보험금의 지급 여부가 달라질 수 있음
*암/뇌혈관질환/허혈성심장질환 진단 시 특약별 각 최초 1회한 지급
노출수가 적음
DIRECT.SAMSUNGLIFE.COM
삼성 팩 건강보험(종합팩)",,2026-07-10,https://www.facebook.com/ads/library/?id=27509438448690788,2026-07-10,2026-07-10,종료,76,,,,,,,,,
04906b9bfdc879486587def079b77bb3,삼성생명 다이렉트,경쟁사,04906b9bfdc879486587def079b77bb3.jpg,https://lh3.googleusercontent.com/d/1qHzxnJvWTPr8TtFBg9BPWJUR_buODdYn,특약,종합보험,상품신뢰,건강보험 필요한 보장 실속있게,"건강보험, 제대로 알고 준비해야죠!

나한테 필요한 보장은 넣고
부담되는 보장은 덜어

실속으로 꽉 채운
삼성 건강보험 한팩!

삼성 팩 건강보험으로
필요한 보장을 알뜰하게 팩트체크 해보세요.

*지급한도, 면책사항 등에 따라 보험금의 지급 여부가 달라질 수 있음
*암/뇌혈관질환/허혈성심장질환 진단 시 특약별 각 최초 1회한 지급
*본 컨텐츠는 ai로 생성된 제작물입니다.
DIRECT.SAMSUNGLIFE.COM
삼성 팩 건강보험(종합팩)",2026-07-10,2026-07-21,https://www.facebook.com/ads/library/?id=2270672477012123,2026-07-21,2026-07-11,종료,76,,,,,,,,,
04a4ba079e4ec2a90685256fe17e141a,키움에셋플래너,경쟁사,04a4ba079e4ec2a90685256fe17e141a.jpg,https://lh3.googleusercontent.com/d/10M8D22QZzqtN19q8oXxI_mfrp3LZYr9a,특약,간병인보험,대비유도,치매 간병비 부담 미리 대비,"1개월 평균 간병비 370만원*
한 달도 부담스러운데...

평생 가는 부모님 치매,
최대 365일 보장되는 간병인 보험으로
미래의 부담 미리 대비하세요

*출처 :BOK이슈노트, 한국은행(2024.03.05) :
'2023년 보건복지부 일평균 간병비 환산기준'
노출수가 적음
KIWOOMASSET.KR
아픈 뒤에는 가입 거절, 아프기 전 지금이 골든 타임! 최대 365일 보장되는 간병인 보험으로 미래의 부담 미리 대비하세요
아픈 뒤에는 가입 거절, 아프기 전 지금이 골든 타임! 최대 365일 보장되는 간병인 보험으로 미래의 부담 미리 대비하세요",2026-05-12,2026-07-05,https://www.facebook.com/ads/library/?id=2157296721516256,2026-07-04,2026-06-21,종료,135,,,,,,,,,
04ca89c00713a52dfa6ecfed35137bcc,펫퍼민트,경쟁사,04ca89c00713a52dfa6ecfed35137bcc.jpg,https://lh3.googleusercontent.com/d/1WPpduOyzme19I1VpNFkIu__4cHSposoB,브랜딩,펫보험,상품신뢰,메리츠 펫보험 가입 시 포인트 지급,"국내 1위 메리츠 펫보험!
신규 가입 고객 대상 네이버페이 포인트 최대 3만원 지급
(월 3만원 이상 가입, 2회차 보험료 납입 시)

🎉 가입건수 13만 돌파! (18~25년 계약건수 기준)
👑 6년 연속 1위 유지 (18~23년 원수보험료 기준)
📇 국내최초 현장청구 (전국 600여개 제휴병원)
📱 보험료만 선택하세요! 간편한 온라인 가입

💜이번 달 가입 혜택 꼭 확인해 보세요💜

준법감시인 심의필 제2026-광고-676호(2026.03.30~2027.03.29)
MSTORE.MERITZFIRE.COM
메리츠화재 펫보험
보험료 알아보기",2026-07-22,2026-07-24,https://www.facebook.com/ads/library/?id=1925942151337502,2026-07-24,2026-07-24,종료,64,,,,,,,,,
